HIST 1300,119533,Friday,12/13/2019,9:00 AM,James Hankins,,,,,,,,,,,,,,,,,,
HIST 1330,111490,Thursday,12/19/2019,9:00 AM,James Kloppenberg,,,,,,,,,,,,,,,,,,
HIST 1465,117932,Tuesday,12/10/2019,9:00 AM,Erez Manela,,,,,,,,,,,,,,,,,,
HIST 1700,124404,Tuesday,12/17/2019,2:00 PM,Emmanuel Akyeampong,,,,,,,,,,,,,,,,,,
HISTSCI 100,123398,Saturday,12/14/2019,9:00 AM,Alex Csiszar,,,,,,,,,,,,,,,,,,
HISTSCI 181,160334,Thursday,12/19/2019,2:00 PM,Matthew Hersch,,,,,,,,,,,,,,,,,,
HUMAN 10A,110440,Tuesday,12/10/2019,9:00 AM,Louis Menand,,,,,,,,,,,,,,,,,,
IGBO 101AR,205865,Tuesday,12/10/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
IGBO AA,126308,Wednesday,12/18/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
IGBO BA,205860,Tuesday,12/10/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
JAMAICAN AA,156750,Thursday,12/19/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
JAMAICAN BA,205863,Thursday,12/19/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
JAPAN 120A,159595,Monday,12/16/2019,9:00 AM,Naomi Asakura,,,,,,,,,,,,,,,,,,
JAPAN 130A,114292,Monday,12/16/2019,9:00 AM,Tomoko Graham,,,,,,,,,,,,,,,,,,
JAPAN 140A,113348,Monday,12/16/2019,9:00 AM,Ikue Shingu,,,,,,,,,,,,,,,,,,
JAPAN BA,111193,Monday,12/16/2019,9:00 AM,Yuko Kageyama-Hunt,,,,,,,,,,,,,,,,,,
KAMBA AA,206920,Tuesday,12/17/2019,9:00 AM,John Mugane,,,,,,,,,,,,,,,,,,
KOREAN 120A,117220,Monday,12/16/2019,9:00 AM,Joungmok Lee,,,,,,,,,,,,,,,,,,
KOREAN BA,124296,Monday,12/16/2019,9:00 AM,Hi-Sun Kim,,,,,,,,,,,,,,,,,,
KOREAN BX,114383,Monday,12/16/2019,9:00 AM,Hi-Sun Kim,,,,,,,,,,,,,,,,,,
LATIN 1,203025,Monday,12/16/2019,9:00 AM,Ivy Livingston,,,,,,,,,,,,,,,,,,
LATIN 10,203228,Wednesday,12/18/2019,2:00 PM,Ivy Livingston,,,,,,,,,,,,,,,,,,
LATIN 117,110614,Thursday,12/19/2019,9:00 AM,Rachel Love,,,,,,,,,,,,,,,,,,
LATIN 201,117068,Wednesday,12/11/2019,2:00 PM,Gregory Mellen,,,,,,,,,,,,,,,,,,
LATIN 2X,203258,Monday,12/16/2019,9:00 AM,Ivy Livingston,,,,,,,,,,,,,,,,,,
LATIN 3,203227,Monday,12/16/2019,9:00 AM,Ivy Livingston,,,,,,,,,,,,,,,,,,
LATIN AX,122177,Monday,12/16/2019,9:00 AM,Ivy Livingston,,,,,,,,,,,,,,,,,,
LATIN H,135062,Monday,12/16/2019,9:00 AM,Rachel Love,,,,,,,,,,,,,,,,,,
LIFESCI 1A,121189,Thursday,12/12/2019,9:00 AM,Richard Losick,,,,,,,,,,,,,,,,,,
LIFESCI 2,123674,Friday,12/13/2019,9:00 AM,Daniel Lieberman,,,,,,,,,,,,,,,,,,
LIFESCI 50A,159706,Wednesday,12/11/2019,2:00 PM,Andrew Murray,,,,,,,,,,,,,,,,,,
LING 104,125790,Friday,12/13/2019,9:00 AM,Jonathan Bobaljik,,,,,,,,,,,,,,,,,,
LING 105,111954,Thursday,12/12/2019,2:00 PM,Kevin Ryan,,,,,,,,,,,,,,,,,,
LING 173,113738,Wednesday,12/18/2019,2:00 PM,Wesley Jacobsen,,,,,,,,,,,,,,,,,,
LING 250,123710,Tuesday,12/17/2019,2:00 PM,Michael Flier,,,,,,,,,,,,,,,,,,
LING 83,122514,Wednesday,12/11/2019,2:00 PM,Kathryn Davidson,,,,,,,,,,,,,,,,,,
LPS A,123833,Wednesday,12/11/2019,9:00 AM,Gregory C. Tucci,,,,,,,,,,,,,,,,,,
MANCHU A,124837,Thursday,12/19/2019,2:00 PM,Mark Elliott,,,,,,,,,,,,,,,,,,
MATH 131,111458,Tuesday,12/17/2019,9:00 AM,Denis Auroux,,,,,,,,,,,,,,,,,,
MATH 18A,125396,Saturday,12/14/2019,9:00 AM,Drew Zemke,,,,,,,,,,,,,,,,,,
MATH 1A,123680,Friday,12/13/2019,2:00 PM,Jill Guerra,,,,,,,,,,,,,,,,,,
MATH 1B,111010,Friday,12/13/2019,2:00 PM,Hakim Walker,,,,,,,,,,,,,,,,,,
MATH 21A,119196,Friday,12/13/2019,2:00 PM,Oliver Knill,,,,,,,,,,,,,,,,,,
MATH 21B,110989,Friday,12/13/2019,2:00 PM,Matthew Demers,,,,,,,,,,,,,,,,,,
MATH 22A,207485,Friday,12/13/2019,9:00 AM,Dusty Grundmeier,,,,,,,,,,,,,,,,,,
MATH 23A,111695,Saturday,12/14/2019,2:00 PM,Paul Bamberg,,,,,,,,,,,,,,,,,,
MATH 25A,110808,Wednesday,12/11/2019,9:00 AM,John Cain,,,,,,,,,,,,,,,,,,
MATH MA,111161,Friday,12/13/2019,2:00 PM,Brendan Kelly,,,,,,,,,,,,,,,,,,
MCB 148,159880,Wednesday,12/18/2019,2:00 PM,Ryan W. Draft,,,,,,,,,,,,,,,,,,
MCB 169,111720,Tuesday,12/10/2019,9:00 AM,Shiv Pillai,,,,,,,,,,,,,,,,,,
MCB 80,117711,Wednesday,12/11/2019,2:00 PM,Venkatesh Murthy,,,,,,,,,,,,,,,,,,
MOD-HEB 120A,110947,Wednesday,12/11/2019,2:00 PM,Irit Aharony,,,,,,,,,,,,,,,,,,
MOD-HEB BA,114218,Wednesday,12/11/2019,9:00 AM,Irit Aharony,,,,,,,,,,,,,,,,,,
NEURO 148,207607,Wednesday,12/18/2019,2:00 PM,Ryan W. Draft,,,,,,,,,,,,,,,,,,
NEURO 80,207476,Wednesday,12/11/2019,2:00 PM,Venkatesh Murthy,,,,,,,,,,,,,,,,,,
OEB 10,144594,Wednesday,12/11/2019,2:00 PM,Brian Farrell,,,,,,,,,,,,,,,,,,
OEB 114,142192,Wednesday,12/11/2019,9:00 AM,David Haig,,,,,,,,,,,,,,,,,,
OEB 145,145857,Wednesday,12/18/2019,2:00 PM,Yun Zhang,,,,,,,,,,,,,,,,,,
OEB 56,130331,Wednesday,12/11/2019,2:00 PM,Andrew Knoll,,,,,,,,,,,,,,,,,,
PHIL 108,205352,Wednesday,12/11/2019,2:00 PM,Jacob Rosen,,,,,,,,,,,,,,,,,,
PHIL 120,111716,Thursday,12/19/2019,2:00 PM,Jeffrey McDonough,,,,,,,,,,,,,,,,,,
PHIL 173,156024,Thursday,12/19/2019,9:00 AM,Selim Berker,,,,,,,,,,,,,,,,,,
PHIL 18,141608,Saturday,12/14/2019,9:00 AM,Seth Robertson,,,,,,,,,,,,,,,,,,
PHIL 3,111175,Wednesday,12/11/2019,2:00 PM,Bernhard Nickel,,,,,,,,,,,,,,,,,,
PHYSCI 2,122575,Thursday,12/19/2019,2:00 PM,Gregory Kestin,,,,,,,,,,,,,,,,,,
PHYSICS 123,124108,Thursday,12/12/2019,9:00 AM,Thomas Hayes,,,,,,,,,,,,,,,,,,
PHYSICS 143A,108465,Tuesday,12/10/2019,9:00 AM,Girma Hailu,,,,,,,,,,,,,,,,,,
PHYSICS 151,111231,Thursday,12/19/2019,9:00 AM,Masahiro Morii,,,,,,,,,,,,,,,,,,
PHYSICS 15A,111164,Thursday,12/19/2019,9:00 AM,David Morin,,,,,,,,,,,,,,,,,,
PHYSICS 15B,111896,Thursday,12/19/2019,9:00 AM,Philip Kim,,,,,,,,,,,,,,,,,,
PHYSICS 15C,124154,Wednesday,12/11/2019,2:00 PM,Melissa Franklin,,,,,,,,,,,,,,,,,,
PHYSICS 195,112107,Wednesday,12/18/2019,2:00 PM,Julia Mundy,,,,,,,,,,,,,,,,,,
PHYSICS 223,109346,Thursday,12/12/2019,9:00 AM,Thomas Hayes,,,,,,,,,,,,,,,,,,
PHYSICS 262,110526,Friday,12/13/2019,9:00 AM,David R. Nelson,,,,,,,,,,,,,,,,,,
PSY 1201,122224,Friday,12/13/2019,9:00 AM,Scott Lukas,,,,,,,,,,,,,,,,,,
PSY 1305,156054,Tuesday,12/10/2019,9:00 AM,Max Krasnow,,,,,,,,,,,,,,,,,,
PSY 1309,207573,Friday,12/13/2019,9:00 AM,Talia Konkle,,,,,,,,,,,,,,,,,,
PSY 14,126551,Friday,12/13/2019,9:00 AM,Daniel Schacter,,,,,,,,,,,,,,,,,,
PSY 1454,156569,Saturday,12/14/2019,2:00 PM,George Alvarez,,,,,,,,,,,,,,,,,,
PSY 1585,207887,Thursday,12/19/2019,2:00 PM,Joseph Vitriol,,,,,,,,,,,,,,,,,,
PSY 18,123973,Tuesday,12/10/2019,2:00 PM,Joshua Buckholtz,,,,,,,,,,,,,,,,,,
PULAAR AA,206946,Tuesday,12/17/2019,2:00 PM,John Mugane,,,,,,,,,,,,,,,,,,
RUSS 101,120717,Tuesday,12/17/2019,9:00 AM,Veronika Egorova,,,,,,,,,,,,,,,,,,
RUSS 111,110859,Saturday,12/14/2019,9:00 AM,Natalia Pokrovsky,,,,,,,,,,,,,,,,,,
RUSS 113,127533,Wednesday,12/11/2019,2:00 PM,Natalia Pokrovsky,,,,,,,,,,,,,,,,,,
RUSS AAB,113925,Monday,12/16/2019,9:00 AM,Natalia Chirkov,,,,,,,,,,,,,,,,,,
SANSKRIT 101A,123045,Friday,12/13/2019,9:00 AM,Nell Hawley,,,,,,,,,,,,,,,,,,
SANSKRIT 102AR,114270,Wednesday,12/11/2019,9:00 AM,Nell Hawley,,,,,,,,,,,,,,,,,,
