Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
111843,SPC-CONC 97R,Tutorial - Sophomore Year,001,Special Concentrations,"Laskin,Elisabeth Lauterbach",1,0,0,0,0,0,0,1
111705,SPC-CONC 98R,Tutorial - Junior Year,001,Special Concentrations,"Laskin,Elisabeth Lauterbach",1,0,0,0,0,0,0,1
159856,SPC-CONC 99B,Tutorial - Senior Year,001,Special Concentrations,"Laskin,Elisabeth Lauterbach",3,0,0,0,0,0,0,3
110094,STAT 102,Intro Stats for Life Sci,001,Statistics,"Rader,Kevin A.",76,0,0,2,0,0,0,78
114027,STAT 104,Intro Quant Methods for Econ,001,Statistics,"Parzen,Michael Isaac",353,0,1,1,1,0,0,356
205028,STAT 109,Intro to Statistical Modelling,001,Statistics,"Parzen,Michael Isaac",44,0,0,0,0,0,0,44
111036,STAT 111,Intro to Statistical Inference,001,Statistics,"Murphy,Susan A",223,23,0,0,1,0,0,247
122304,STAT 115,Intro to Comptl Bio & Bioinfo,001,Statistics,"Liu,Xiaole (Shirley)",1,10,0,1,2,0,0,14
203104,STAT 117,Data Analysis in Modern Biost,001,Statistics,"Parmigiani,Giovanni",20,2,0,0,1,0,0,23
203102,STAT 121B,Data Science 2,001,Statistics,"Glickman,Mark",12,8,0,3,0,0,0,23
126048,STAT 123,Quantitative Finance,001,Statistics,"Blyth,Stephen",56,5,1,3,4,0,0,69
118974,STAT 149,Generalized Linear Models,001,Statistics,"Glickman,Mark",69,19,1,1,1,0,0,91
113721,STAT 171,Intro to Stochastic Processes,001,Statistics,"Pillai,Natesh S",44,3,0,3,0,0,0,50
156452,STAT 212,Probability II,001,Statistics,"Stroock,Daniel Wyler",15,11,0,0,0,0,0,26
159802,STAT 213,Statistical Inference II,001,Statistics,"Jacob,Pierre Etienne",2,13,0,0,0,0,0,15
126060,STAT 215,Intro to Comptl Bio & Bioinfo,001,Statistics,"Liu,Xiaole (Shirley)",1,3,0,1,0,1,0,6
118016,STAT 220,Bayesian Data Analysis,001,Statistics,"Liu,Jun",5,10,0,2,0,0,0,17
205213,STAT 234,Sequential Decision Making,001,Statistics,"Murphy,Susan A",7,5,0,0,0,0,0,12
160669,STAT 300HFRB,Research in Statistics,001,Statistics,"Shephard,Neil",1,18,0,0,0,0,0,19
113943,STAT 301,Special Reading and Research,001,Statistics,"Airoldi,Edoardo Maria",0,3,0,0,0,0,0,3
113943,STAT 301,Special Reading and Research,005,Statistics,"Glickman,Mark",0,2,0,0,0,0,0,2
113943,STAT 301,Special Reading and Research,007,Statistics,"Jacob,Pierre Etienne",0,1,0,0,0,0,0,1
113943,STAT 301,Special Reading and Research,009,Statistics,"Liu,Jun",0,1,0,0,0,0,0,1
113943,STAT 301,Special Reading and Research,010,Statistics,"Meng,Xiao-Li",0,4,0,0,0,0,0,4
113943,STAT 301,Special Reading and Research,011,Statistics,"Miratrix,Luke Weisman",0,2,0,0,0,0,0,2
160674,STAT 303HFB,Art & Practice of Teaching Sta,001,Statistics,"Blitzstein,Joseph K.",0,6,0,0,0,0,0,6
160677,STAT 314HFRB,Timely Topics in Statistics,001,Statistics,"Janson,Lucas B",0,2,0,0,0,0,0,2
156490,STAT 315,Modern high-dimensional infere,001,Statistics,"Janson,Lucas B",3,23,0,2,0,0,0,28
204455,STAT 316,Reading Seminar,001,Statistics,"Liu,Xiaole (Shirley)",0,1,0,0,0,0,0,1
119002,STAT 91R,Supervised Reading & Research,001,Statistics,"Blitzstein,Joseph K.",14,0,0,0,0,0,0,14
127768,STAT 98,Tutorial - Junior Year,001,Statistics,"Rader,Kevin A.",14,0,0,0,0,0,0,14
159964,STAT 99,Tutorial - Senior Year,001,Statistics,"Blitzstein,Joseph K.",17,0,0,0,0,0,0,17
